#{"t_start": 1555246690.4109085, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
1340.0,2427,16962.32337
2080.0,2804,17090.034405
2040.0,3052,17229.021028
1320.0,2539,17343.582939
1080.0,2179,17443.483324
2360.0,3546,17597.892234
1220.0,2383,17706.669653
2775.0,3545,17863.499361
205.0,879,17903.900289
340.0,1410,17970.061311
460.0,1331,18032.478977
1920.0,2387,18145.030577
780.0,1660,18223.477971
1140.0,2055,18319.53853
1400.0,2367,18429.38527
4090.0,3850,18606.346002
140.0,642,18635.917638
2810.0,3203,18782.554758
480.0,1645,18854.966101
295.0,1064,18900.770474
800.0,1784,18978.395599
1020.0,1929,19063.562951
540.0,1675,19138.727234
2300.0,3120,19279.357146
1460.0,2255,19379.70706
2870.0,3403,19532.500117
480.0,1849,19615.018509
385.0,1188,19665.343314
2000.0,2804,19790.08896
2145.0,2999,19925.736085
840.0,1709,20001.277153
780.0,1926,20088.947812
1620.0,2715,20213.498932
400.0,1711,20290.826333
370.0,1608,20359.846556
3050.0,3141,20502.271828
1720.0,2460,20609.521992
3420.0,3254,20748.675392
1380.0,1945,20832.175529
355.0,1290,20887.520348
1640.0,2306,20985.284139
1820.0,2495,21092.48691
4290.0,3746,21253.081259
1640.0,2216,21348.756175
1200.0,1862,21437.044852
1880.0,2648,21561.032418
2955.0,3096,21708.049443
120.0,990,21753.92461
500.0,2543,21871.17341
2045.0,3233,22022.692235
2760.0,2938,22157.060328
2580.0,3282,22305.108959
460.0,1881,22390.153781
1080.0,2015,22482.190791
355.0,1643,22559.121157
370.0,1422,22624.354082
740.0,1739,22705.603787
130.0,764,22740.041106
1680.0,2355,22846.826514
1280.0,2320,22946.636312
2825.0,3302,23091.833086
2565.0,2543,23209.513801
2150.0,2191,23312.204657
780.0,1581,23383.254607
760.0,1551,23449.618866
295.0,948,23490.364085
1540.0,2192,23584.629584
355.0,1788,23661.208344
3160.0,3644,23818.031311
2565.0,3128,23952.751927
4410.0,3869,24119.67007
4160.0,4336,24312.900951
1680.0,2348,24421.174702
5310.0,4366,24623.010111
1140.0,2060,24720.290468
4510.0,4040,24901.398263
310.0,1137,24950.217586
3120.0,3034,25082.962213
3415.0,3933,25252.530508
2940.0,2956,25382.341774
175.0,648,25411.382464
1160.0,1717,25490.724534
1100.0,1698,25568.724421
100.0,414,25587.226022
900.0,1923,25679.064343
3675.0,3578,25847.515039
340.0,1377,25911.785762
1440.0,1865,25998.675384
940.0,1842,26083.310286
3615.0,3786,26258.239848
1480.0,2381,26367.89936
130.0,539,26394.164986
6950.0,5323,26638.414604
4065.0,3755,26810.195388
370.0,1438,26871.71914
340.0,1201,26923.330559
3255.0,3146,27067.590696
8065.0,6425,27367.839046
3500.0,4000,27551.763187
4150.0,5671,27807.40981
3285.0,3674,27976.023285
2275.0,2700,28099.574196
2625.0,3023,28236.739967
325.0,1256,28295.556597
1400.0,2186,28392.991949
4840.0,3941,28561.782839
680.0,1990,28647.154721
720.0,1767,28723.607145
160.0,892,28761.753588
1945.0,2926,28888.018365
310.0,1072,28933.854124
1680.0,2528,29042.332175
355.0,1230,29094.633484
1720.0,3237,29233.388515
1420.0,2392,29335.936069
370.0,1097,29383.948458
1680.0,2951,29512.153126
1360.0,1832,29591.048551
6475.0,5384,29830.286191
2725.0,2893,29954.227565
3690.0,3364,30098.54848
3140.0,3367,30243.682539
295.0,1142,30294.67188
1420.0,2197,30393.781893
3870.0,4053,30576.194078
1760.0,2312,30681.406996
110.0,557,30706.750233
