# {"t_start": 1550208072.853441, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,932,1.325228
-21.0,882,35.217792
-20.0,871,72.02607
-21.0,821,106.601171
-19.0,967,146.959193
-21.0,905,184.775728
