# {"t_start": 1550232864.192254, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
540.0,528,5319.044156
580.0,584,5345.482972
360.0,525,5369.933904
1040.0,624,5398.488062
980.0,591,5425.504537
1860.0,686,5456.321103
1280.0,651,5485.784118
1060.0,641,5515.799324
680.0,420,5534.719354
740.0,525,5559.09332
900.0,591,5586.118278
340.0,466,5607.661699
720.0,497,5630.97643
260.0,730,5664.653167
80.0,402,5683.50571
760.0,627,5712.398514
1020.0,1172,5766.421813
400.0,540,5791.667472
780.0,738,5824.712348
1340.0,535,5848.702096
1300.0,458,5869.679874
960.0,433,5889.643831
600.0,621,5917.618605
160.0,541,5942.509823
1160.0,493,5965.110228
740.0,512,5989.314992
440.0,619,6017.573574
380.0,352,6033.619887
380.0,576,6059.740633
700.0,664,6089.421952
840.0,909,6130.655364
900.0,549,6155.326042
640.0,651,6184.906924
1860.0,590,6212.089968
1400.0,697,6244.241199
500.0,736,6277.844216
1300.0,815,6314.885729
340.0,538,6339.587804
800.0,450,6359.913486
860.0,788,6395.911019
1720.0,580,6421.398099
860.0,637,6450.992862
680.0,420,6470.023826
620.0,522,6493.751171
780.0,546,6518.339024
920.0,678,6550.033193
500.0,524,6574.73437
880.0,593,6603.243795
540.0,525,6627.208011
880.0,377,6644.453997
1420.0,774,6680.249624
720.0,577,6706.395086
400.0,563,6731.610042
1160.0,1297,6790.029154
740.0,559,6815.659878
480.0,654,6845.406734
860.0,419,6864.624377
820.0,491,6887.703029
20.0,611,6915.497272
640.0,459,6936.247152
620.0,492,6958.66204
720.0,753,6992.743384
1200.0,553,7018.067962
180.0,389,7036.101964
860.0,497,7058.840799
0.0,379,7075.944333
1520.0,379,7093.513246
520.0,698,7126.168587
820.0,806,7163.451189
3060.0,1343,7224.903299
720.0,400,7243.282801
940.0,723,7276.253566
60.0,566,7301.883337
560.0,570,7327.489616
940.0,566,7354.260727
1140.0,518,7377.511908
240.0,602,7405.227606
620.0,428,7425.302037
300.0,470,7446.691688
480.0,521,7471.406413
860.0,491,7493.782547
460.0,602,7521.449058
0.0,556,7546.668325
880.0,559,7571.747246
600.0,649,7600.794085
1040.0,667,7631.002889
940.0,507,7653.965642
580.0,477,7675.501754
560.0,525,7699.368795
620.0,447,7719.423555
680.0,555,7744.551855
500.0,570,7770.284975
640.0,424,7789.228006
900.0,703,7821.079487
2400.0,410,7839.43142
600.0,481,7861.390403
260.0,397,7879.497613
0.0,521,7903.147157
220.0,438,7923.782064
0.0,622,7951.984295
420.0,614,7979.70712
1000.0,418,7998.421536
740.0,566,8024.661484
880.0,784,8060.184456
620.0,547,8085.220803
600.0,524,8108.731053
420.0,716,8141.490312
560.0,685,8172.77567
880.0,577,8199.092484
260.0,461,8219.783242
560.0,564,8245.263319
400.0,539,8270.3309
80.0,393,8288.299269
300.0,478,8310.635005
620.0,623,8339.645097
60.0,495,8362.847306
1120.0,624,8391.197537
340.0,433,8410.648833
460.0,350,8426.839788
560.0,467,8448.867007
1980.0,600,8476.125497
340.0,470,8497.521378
1020.0,558,8523.118198
620.0,702,8555.236908
680.0,578,8581.456424
800.0,703,8613.262686
680.0,470,8634.997838
1000.0,667,8664.922074
660.0,616,8693.058887
1600.0,619,8721.921698
1120.0,627,8751.187225
400.0,724,8783.900249
600.0,508,8806.694496
720.0,587,8832.871807
780.0,574,8859.405235
660.0,598,8886.625623
160.0,518,8910.235291
500.0,404,8928.801353
620.0,559,8954.495006
400.0,435,8974.096617
460.0,746,9008.317302
440.0,521,9032.186852
500.0,534,9056.464916
1420.0,456,9076.931774
180.0,389,9094.446188
680.0,693,9126.184312
1600.0,1030,9172.798682
400.0,593,9199.858807
1060.0,506,9222.789081
460.0,521,9246.323312
480.0,436,9266.300455
220.0,712,9298.720041
380.0,538,9323.16419
700.0,664,9353.347226
240.0,571,9379.018637
780.0,569,9404.970096
620.0,633,9433.911382
480.0,389,9451.178793
380.0,601,9479.358756
300.0,508,9502.798945
380.0,356,9519.432593
480.0,469,9541.102576
200.0,443,9561.249336
460.0,587,9587.612821
500.0,480,9609.671437
360.0,391,9628.064203
480.0,466,9650.251421
560.0,471,9672.56642
1220.0,1190,9727.327405
840.0,646,9756.748746
360.0,449,9777.50123
620.0,583,9803.601996
340.0,457,9824.483569
580.0,574,9850.770397
640.0,602,9878.339376
200.0,564,9904.136341
360.0,686,9935.442973
920.0,725,9969.138511
300.0,556,9994.395498
260.0,545,10018.865357
480.0,508,10041.963354
640.0,1335,10104.436949
1080.0,745,10138.3572
480.0,539,10163.699147
100.0,517,10187.654154
380.0,648,10217.533381
660.0,582,10243.931757
940.0,485,10266.610263
620.0,963,10310.134479
540.0,799,10346.499884
400.0,630,10375.74934
1120.0,755,10410.410157
1540.0,479,10431.603951
1020.0,424,10450.833787
0.0,508,10474.376326
1260.0,719,10507.588835
320.0,723,10540.679542
480.0,825,10578.922407
1340.0,535,10603.341933
540.0,558,10628.555619
1160.0,540,10653.196831
220.0,416,10672.29906
560.0,763,10706.691417
400.0,562,10732.008139
340.0,600,10759.192782
1440.0,726,10791.927464
660.0,932,10833.697288
420.0,682,10864.916375
800.0,541,10889.874487
740.0,510,10913.146767
960.0,402,10931.44547
640.0,493,10953.785866
500.0,680,10984.869626
480.0,400,11003.15499
580.0,488,11025.804502
820.0,539,11050.534588
520.0,385,11068.118665
460.0,720,11101.076272
560.0,502,11124.617531
1080.0,583,11151.461379
160.0,459,11172.388773
620.0,528,11197.156055
800.0,571,11223.258497
880.0,421,11242.547181
40.0,448,11263.593271
420.0,1049,11311.911122
160.0,590,11339.721198
560.0,524,11363.31655
540.0,740,11397.329149
600.0,610,11425.061207
1460.0,775,11460.670153
600.0,831,11499.204901
200.0,444,11519.78534
1120.0,567,11545.990243
260.0,540,11571.050994
400.0,516,11595.19241
260.0,528,11619.256862
1480.0,678,11650.1825
1860.0,857,11690.195814
560.0,525,11714.160345
1160.0,518,11737.473356
480.0,492,11760.410272
340.0,484,11782.18701
1140.0,503,11805.050737
180.0,569,11831.20114
600.0,667,11860.820113
580.0,724,11893.43484
660.0,806,11930.650455
440.0,497,11954.699884
440.0,451,11975.289934
880.0,571,12001.330486
360.0,687,12032.573568
400.0,503,12055.807018
560.0,666,12085.617938
440.0,654,12115.895628
400.0,424,12135.583172
740.0,804,12172.49047
740.0,639,12201.218835
1380.0,698,12233.721614
1020.0,749,12268.184224
1260.0,511,12291.592087
220.0,476,12313.13155
320.0,659,12344.092783
680.0,480,12365.860373
760.0,603,12393.037907
940.0,529,12418.056865
380.0,519,12441.604765
160.0,918,12482.662503
700.0,818,12519.059241
460.0,727,12552.742604
1520.0,673,12583.592744
100.0,604,12610.818359
500.0,395,12628.327515
220.0,530,12652.608163
440.0,706,12684.51699
80.0,626,12713.745507
260.0,525,12737.953144
540.0,597,12764.948408
780.0,504,12788.11136
80.0,771,12823.572918
640.0,526,12847.656976
1260.0,606,12876.337139
360.0,496,12899.919723
1240.0,522,12925.408714
500.0,608,12954.231299
660.0,698,12986.606316
380.0,687,13019.423208
640.0,540,13044.260006
900.0,565,13069.78845
1400.0,1635,13143.417821
40.0,625,13171.510611
440.0,470,13193.19947
760.0,526,13217.590713
800.0,714,13250.039793
580.0,622,13278.694491
360.0,644,13308.088439
380.0,577,13335.505517
960.0,607,13363.242355
440.0,609,13391.046999
500.0,613,13418.758471
820.0,620,13446.980546
140.0,432,13466.690886
340.0,579,13492.73607
660.0,594,13520.556655
560.0,672,13551.198189
180.0,510,13575.111478
920.0,506,13598.126424
300.0,545,13623.453104
800.0,501,13646.971712
260.0,522,13670.961762
700.0,507,13694.495698
540.0,539,13719.147561
140.0,454,13739.583238
160.0,542,13764.100619
540.0,733,13797.690284
340.0,473,13818.847196
960.0,621,13847.418438
940.0,579,13873.452733
560.0,614,13901.071087
1200.0,461,13922.235133
180.0,614,13950.302395
160.0,370,13967.381916
0.0,684,13998.917875
640.0,539,14022.999527
580.0,511,14046.182025
800.0,587,14072.623953
500.0,586,14099.664082
400.0,601,14126.472292
540.0,732,14159.796618
1040.0,1244,14216.999506
240.0,612,14245.385617
380.0,484,14268.226948
360.0,748,14303.230567
120.0,488,14326.20456
440.0,432,14345.980466
440.0,513,14369.187999
400.0,652,14398.301888
