# {"t_start": 1550232858.508675, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
315.0,618,7055.858295
210.0,644,7085.078567
357.0,854,7123.441688
336.0,819,7159.581451
252.0,560,7183.813081
357.0,811,7219.056869
147.0,538,7242.157689
273.0,670,7272.722853
231.0,800,7308.623375
378.0,961,7351.80553
294.0,701,7383.028332
189.0,757,7416.295784
420.0,800,7450.955863
189.0,550,7474.863586
315.0,1089,7522.869468
189.0,380,7538.988349
336.0,571,7563.725693
336.0,655,7592.63468
210.0,565,7617.676528
147.0,389,7634.19665
294.0,614,7660.969903
168.0,493,7682.322143
420.0,767,7716.017413
441.0,691,7746.198298
294.0,461,7765.944
336.0,853,7803.189241
378.0,899,7842.609812
336.0,773,7876.423919
399.0,757,7909.37975
231.0,599,7936.135837
231.0,843,7973.845437
189.0,559,7997.737017
357.0,769,8032.480998
294.0,877,8071.150081
315.0,611,8097.837731
399.0,848,8134.782512
399.0,843,8172.707918
273.0,800,8207.861466
315.0,1035,8253.021935
273.0,693,8283.232036
378.0,737,8315.157964
252.0,596,8341.52479
462.0,958,8383.657776
399.0,828,8419.821102
210.0,690,8450.549642
273.0,783,8484.558308
420.0,750,8517.913527
420.0,875,8556.855522
399.0,671,8586.280307
399.0,789,8621.1872
294.0,1026,8666.244864
210.0,852,8703.523112
336.0,801,8739.194645
336.0,981,8782.060032
336.0,927,8822.408891
399.0,644,8850.78691
189.0,539,8874.418114
273.0,801,8909.761942
525.0,1141,8961.213972
231.0,670,8990.889394
231.0,876,9029.337466
336.0,837,9066.322142
378.0,712,9097.588763
252.0,508,9119.707548
252.0,753,9152.641829
273.0,699,9183.731744
273.0,592,9209.349396
210.0,673,9238.938806
336.0,765,9272.695422
399.0,1259,9328.604378
504.0,1148,9379.799116
483.0,988,9422.837213
483.0,818,9459.067115
399.0,886,9499.468913
126.0,348,9514.234622
294.0,797,9548.977395
504.0,1100,9598.009609
357.0,991,9641.020065
294.0,858,9678.696109
441.0,1246,9733.792428
462.0,724,9764.939122
441.0,974,9807.313862
126.0,462,9827.733165
399.0,978,9870.697828
189.0,533,9894.109034
441.0,946,9935.018028
399.0,701,9966.131664
462.0,1088,10014.76134
168.0,482,10035.766124
462.0,1105,10084.024934
315.0,863,10121.422869
231.0,641,10149.971798
441.0,603,10177.064378
441.0,980,10221.038526
378.0,916,10261.31647
189.0,636,10289.047918
357.0,807,10324.658679
357.0,838,10361.625939
378.0,794,10396.815023
378.0,730,10429.295892
399.0,833,10466.776885
252.0,731,10499.208929
462.0,995,10543.877688
231.0,827,10580.610711
357.0,699,10611.453362
399.0,948,10653.540474
294.0,609,10680.38719
315.0,762,10714.793134
294.0,545,10738.442855
294.0,780,10772.552636
294.0,764,10805.970171
315.0,842,10842.933696
441.0,1086,10891.472536
378.0,918,10932.226283
336.0,888,10971.410008
336.0,948,11013.64744
462.0,1114,11063.646881
252.0,874,11102.623435
336.0,511,11125.247649
399.0,1255,11180.719776
294.0,736,11213.425255
399.0,1021,11258.366556
399.0,804,11294.331339
640.0,1264,11351.636711
315.0,586,11377.526391
189.0,446,11397.035296
189.0,444,11416.248101
189.0,539,11440.406271
294.0,679,11470.552058
294.0,778,11505.20653
420.0,1031,11550.765202
294.0,761,11583.997989
231.0,478,11605.528545
378.0,681,11635.806009
357.0,831,11672.948428
525.0,954,11715.047113
315.0,672,11745.844659
420.0,706,11776.706234
420.0,1054,11823.004944
126.0,449,11842.534621
441.0,899,11881.797654
441.0,787,11916.820255
357.0,733,11949.827642
525.0,795,11984.621099
273.0,512,12007.070545
210.0,633,12034.595767
252.0,576,12059.793478
357.0,902,12099.183454
273.0,509,12121.616536
399.0,694,12151.658273
336.0,1069,12199.550097
315.0,544,12223.752581
210.0,350,12238.9951
189.0,351,12254.292568
399.0,768,12288.43409
378.0,681,12318.346382
273.0,474,12338.736794
378.0,838,12375.079984
399.0,716,12407.342657
315.0,773,12441.716531
420.0,1117,12490.448213
357.0,910,12530.682125
420.0,893,12570.292949
378.0,813,12606.007438
252.0,530,12630.287559
378.0,725,12662.183259
378.0,790,12696.348396
630.0,1117,12745.874998
294.0,635,12773.801803
189.0,477,12794.446863
168.0,444,12813.612069
273.0,525,12836.928006
399.0,595,12862.901278
252.0,475,12884.17153
483.0,675,12915.21101
420.0,830,12951.834922
441.0,977,12996.223904
399.0,844,13033.915553
399.0,667,13062.741894
294.0,646,13091.193356
378.0,923,13132.234774
273.0,804,13168.234775
399.0,936,13210.178563
420.0,899,13250.119594
462.0,1087,13297.214057
231.0,516,13319.866226
357.0,734,13352.188803
315.0,949,13393.60018
168.0,478,13414.438785
357.0,800,13449.286501
231.0,637,13477.121893
210.0,544,13500.547967
462.0,788,13535.985029
336.0,955,13578.296942
399.0,955,13620.290683
399.0,789,13655.196326
546.0,824,13691.266989
399.0,891,13730.422322
294.0,615,13757.535246
483.0,861,13796.302926
504.0,1198,13848.52212
210.0,862,13886.225269
168.0,381,13902.586705
462.0,864,13941.297811
336.0,999,13985.652645
378.0,669,14014.651318
399.0,704,14046.235426
273.0,794,14081.080602
273.0,507,14102.923089
357.0,703,14134.16527
399.0,917,14175.724898
504.0,1057,14222.531427
546.0,811,14258.621813
315.0,876,14298.629478
399.0,738,14331.08516
357.0,747,14364.083207
567.0,997,14407.824517
588.0,953,14450.54719
378.0,790,14485.753295
420.0,788,14521.66284
483.0,737,14553.772067
336.0,666,14583.01721
483.0,955,14626.004342
420.0,1059,14672.528539
420.0,763,14705.700803
357.0,1023,14750.943392
357.0,1092,14799.149223
336.0,1182,14850.992932
273.0,791,14886.045337
189.0,635,14913.533554
210.0,670,14942.793103
357.0,874,14981.405639
420.0,1310,15038.690638
399.0,1407,15101.316418
336.0,703,15132.124896
462.0,1014,15176.67477
336.0,994,15220.502329
168.0,311,15234.258894
168.0,416,15252.581486
294.0,697,15283.852581
336.0,664,15314.062648
315.0,865,15353.163227
273.0,732,15385.673118
378.0,751,15418.780656
420.0,891,15458.71945
399.0,854,15496.488602
399.0,893,15536.301503
399.0,764,15569.8868
546.0,1314,15627.682482
420.0,929,15669.349404
189.0,673,15698.568594
336.0,835,15735.210031
420.0,960,15778.594017
294.0,727,15810.150847
399.0,825,15846.55201
378.0,575,15871.330868
462.0,898,15910.916867
210.0,388,15927.749241
294.0,602,15954.11919
315.0,571,15979.594671
105.0,187,15987.518203
294.0,673,16016.77404
399.0,725,16048.292465
294.0,689,16078.546862
504.0,893,16118.102802
420.0,898,16158.034068
567.0,1535,16226.254542
504.0,1347,16285.877346
357.0,768,16319.7437
441.0,673,16349.333464
609.0,1046,16395.304977
462.0,833,16431.728736
378.0,714,16462.623307
567.0,1098,16512.251078
231.0,631,16539.650709
399.0,893,16580.13745
168.0,566,16604.708724
420.0,803,16640.130983
420.0,1155,16692.181308
315.0,1029,16738.039419
252.0,863,16776.375558
399.0,635,16804.570963
462.0,729,16836.469432
189.0,511,16860.148956
441.0,1079,16907.573159
336.0,734,16939.934221
399.0,990,16983.770328
357.0,795,17019.690368
315.0,733,17052.964918
441.0,903,17093.240699
231.0,580,17120.612396
420.0,930,17161.707346
357.0,907,17201.340171
420.0,860,17239.090684
567.0,1473,17304.247934
661.0,1281,17360.779341
546.0,730,17393.570424
357.0,572,17418.496864
252.0,507,17440.16436
336.0,762,17474.634888
189.0,413,17492.549191
567.0,993,17535.870785
378.0,998,17579.872308
315.0,698,17609.650615
378.0,857,17647.564322
588.0,939,17689.630019
